
Quadro extraído em 13 de Setembro de 2024 (17:31:53)
http://www.ine.pt



Período de referência dos dados;Localização geográfica (NUTS - 2024 - Cidade);Valor mediano das vendas por m2 de alojamentos familiares nos últimos 12 meses (?) por Localização geográfica (NUTS - 2024 - Cidade) e Categoria do alojamento familiar -  Trimestral;Valor mediano das vendas por m2 de alojamentos familiares em apartamentos nos últimos 12 meses (?) por Localização geográfica (NUTS - 2024 - Cidade) -  Trimestral;
;;Categoria do alojamento familiar;;
;;Total;;
;;? ;? ;
;11A131216: União das freguesias de Aldoar, Foz do Douro e Nevogilde;2894;2888;
;11A131217: União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória;2504;2630;
;11A131218: União das freguesias de Lordelo do Ouro e Massarelos;2519;2573;
1.º Trimestre de 2021;T: Total;1939;2054;
;11A0016: Porto;2200;2270;
;11A131202: Bonfim;2000;2098;
;11A131203: Campanhã;1611;2180;
;11A131210: Paranhos;2007;2121;
;11A131211: Ramalde;1974;1969;
;11A131216: União das freguesias de Aldoar, Foz do Douro e Nevogilde;2885;2811;
;11A131217: União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória;2484;2626;
;11A131218: União das freguesias de Lordelo do Ouro e Massarelos;2468;2469;
4.º Trimestre de 2020;T: Total;1936;2053;
;11A0016: Porto;2112;2197;
;11A131202: Bonfim;1963;2129;
;11A131203: Campanhã;1417;1720;
;11A131210: Paranhos;1942;2015;
;11A131211: Ramalde;1762;1750;
;11A131216: União das freguesias de Aldoar, Foz do Douro e Nevogilde;2869;2841;
;11A131217: União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória;2461;2621;
;11A131218: União das freguesias de Lordelo do Ouro e Massarelos;2594;2647;
3.º Trimestre de 2020;T: Total;1875;2000;
;11A0016: Porto;2009;2124;
;11A131202: Bonfim;1961;2134;
;11A131203: Campanhã;1336;1526;
;11A131210: Paranhos;1801;1871;
;11A131211: Ramalde;1727;1733;
;11A131216: União das freguesias de Aldoar, Foz do Douro e Nevogilde;2793;2793;
;11A131217: União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória;2294;2511;
;11A131218: União das freguesias de Lordelo do Ouro e Massarelos;2461;2462;
2.º Trimestre de 2020;T: Total;1827;1935;
;11A0016: Porto;1911;2023;
;11A131202: Bonfim;1833;1991;
;11A131203: Campanhã;1273;1437;
;11A131210: Paranhos;1732;1788;
;11A131211: Ramalde;1705;1712;
;11A131216: União das freguesias de Aldoar, Foz do Douro e Nevogilde;2740;2732;
;11A131217: União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória;2181;2473;
;11A131218: União das freguesias de Lordelo do Ouro e Massarelos;2389;2415;
1.º Trimestre de 2020;T: Total;1800;1907;
;11A0016: Porto;1880;2000;
;11A131202: Bonfim;1897;2016;
;11A131203: Campanhã;1317;1463;
;11A131210: Paranhos;1677;1738;
;11A131211: Ramalde;1652;1667;
;11A131216: União das freguesias de Aldoar, Foz do Douro e Nevogilde;2650;2723;
;11A131217: União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória;2168;2456;
;11A131218: União das freguesias de Lordelo do Ouro e Massarelos;2283;2318;
4.º Trimestre de 2019;T: Total;1744;1854;
;11A0016: Porto;1856;1988;
;11A131202: Bonfim;1858;1984;
;11A131203: Campanhã;1296;1451;
;11A131210: Paranhos;1614;1716;
;11A131211: Ramalde;1646;1696;
;11A131216: União das freguesias de Aldoar, Foz do Douro e Nevogilde;2612;2675;
;11A131217: União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória;2051;2335;
;11A131218: União das freguesias de Lordelo do Ouro e Massarelos;2170;2206;

Valor mediano das vendas por m2 de alojamentos familiares nos últimos 12 meses (?) por Localização geográfica (NUTS - 2024 - Cidade) e Categoria do alojamento familiar -  Trimestral
