
Quadro extraído em 13 de Setembro de 2024 (17:46:21)
http://www.ine.pt



Período de referência dos dados;Localização geográfica (NUTS - 2024) (1) ;Valor mediano das vendas por m2 de alojamentos familiares em apartamentos nos últimos 12 meses (?) por Localização geográfica (NUTS - 2024) -  Trimestral;Valor mediano das vendas por m2 de alojamentos familiares por Localização geográfica (NUTS - 2024) e Setor institucional do comprador -  Trimestral;;;
;;;Setor institucional do comprador;;;
;;;Total;Famílias;Restantes setores institucionais;
;;? ;? ;? ;? ;
;11A131218: União das freguesias de Lordelo do Ouro e Massarelos;2547;x;x;x;
2.º Trimestre de 2021;11A1312: Porto;2283;2125;2206;1788;
;11A131202: Bonfim;2091;x;x;x;
;11A131203: Campanhã;2201;x;x;x;
;11A131210: Paranhos;2149;x;x;x;
;11A131211: Ramalde;1919;x;x;x;
;11A131216: União das freguesias de Aldoar, Foz do Douro e Nevogilde;2888;x;x;x;
;11A131217: União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória;2630;x;x;x;
;11A131218: União das freguesias de Lordelo do Ouro e Massarelos;2573;x;x;x;
1.º Trimestre de 2021;11A1312: Porto;2270;2282;2310;2002;
;11A131202: Bonfim;2098;x;x;x;
;11A131203: Campanhã;2180;x;x;x;
;11A131210: Paranhos;2121;x;x;x;
;11A131211: Ramalde;1969;x;x;x;
;11A131216: União das freguesias de Aldoar, Foz do Douro e Nevogilde;2811;x;x;x;
;11A131217: União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória;2626;x;x;x;
;11A131218: União das freguesias de Lordelo do Ouro e Massarelos;2469;x;x;x;
4.º Trimestre de 2020;11A1312: Porto;2197;2217;2252;2084;
;11A131202: Bonfim;2129;x;x;x;
;11A131203: Campanhã;1720;x;x;x;
;11A131210: Paranhos;2015;x;x;x;
;11A131211: Ramalde;1750;x;x;x;
;11A131216: União das freguesias de Aldoar, Foz do Douro e Nevogilde;2841;x;x;x;
;11A131217: União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória;2621;x;x;x;
;11A131218: União das freguesias de Lordelo do Ouro e Massarelos;2647;x;x;x;
3.º Trimestre de 2020;11A1312: Porto;2124;2219;2233;2055;
;11A131202: Bonfim;2134;x;x;x;
;11A131203: Campanhã;1526;x;x;x;
;11A131210: Paranhos;1871;x;x;x;
;11A131211: Ramalde;1733;x;x;x;
;11A131216: União das freguesias de Aldoar, Foz do Douro e Nevogilde;2793;x;x;x;
;11A131217: União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória;2511;x;x;x;
;11A131218: União das freguesias de Lordelo do Ouro e Massarelos;2462;x;x;x;
2.º Trimestre de 2020;11A1312: Porto;2023;2065;2155;1571;
;11A131202: Bonfim;1991;x;x;x;
;11A131203: Campanhã;1437;x;x;x;
;11A131210: Paranhos;1788;x;x;x;
;11A131211: Ramalde;1712;x;x;x;
;11A131216: União das freguesias de Aldoar, Foz do Douro e Nevogilde;2732;x;x;x;
;11A131217: União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória;2473;x;x;x;
;11A131218: União das freguesias de Lordelo do Ouro e Massarelos;2415;x;x;x;
1.º Trimestre de 2020;11A1312: Porto;2000;1949;2013;1657;
;11A131202: Bonfim;2016;x;x;x;
;11A131203: Campanhã;1463;x;x;x;
;11A131210: Paranhos;1738;x;x;x;
;11A131211: Ramalde;1667;x;x;x;
;11A131216: União das freguesias de Aldoar, Foz do Douro e Nevogilde;2723;x;x;x;
;11A131217: União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória;2456;x;x;x;
;11A131218: União das freguesias de Lordelo do Ouro e Massarelos;2318;x;x;x;
4.º Trimestre de 2019;11A1312: Porto;1988;1876;2069;1241;
;11A131202: Bonfim;1984;x;x;x;
;11A131203: Campanhã;1451;x;x;x;
;11A131210: Paranhos;1716;x;x;x;
;11A131211: Ramalde;1696;x;x;x;
