# Série;Designação da série (PT);Métrica;Unidade de Medida;Período de referência;Valor;Estado
12533735;Taxa de juro (TAA) de novos empréstimos à habitação;Taxa acordada anualizada;Percentagem;2007-06-30;4.72;
12533735;Taxa de juro (TAA) de novos empréstimos à habitação;Taxa acordada anualizada;Percentagem;2007-07-31;4.74;
12533735;Taxa de juro (TAA) de novos empréstimos à habitação;Taxa acordada anualizada;Percentagem;2007-08-31;4.82;
12533735;Taxa de juro (TAA) de novos empréstimos à habitação;Taxa acordada anualizada;Percentagem;2007-09-30;5.07;
12533735;Taxa de juro (TAA) de novos empréstimos à habitação;Taxa acordada anualizada;Percentagem;2007-10-31;5.23;
12533735;Taxa de juro (TAA) de novos empréstimos à habitação;Taxa acordada anualizada;Percentagem;2007-11-30;5.21;
12533735;Taxa de juro (TAA) de novos empréstimos à habitação;Taxa acordada anualizada;Percentagem;2007-12-31;5.2;
12533735;Taxa de juro (TAA) de novos empréstimos à habitação;Taxa acordada anualizada;Percentagem;2008-01-31;5.27;
12533735;Taxa de juro (TAA) de novos empréstimos à habitação;Taxa acordada anualizada;Percentagem;2008-02-29;5.12;
12533735;Taxa de juro (TAA) de novos empréstimos à habitação;Taxa acordada anualizada;Percentagem;2008-03-31;5.05;
12533735;Taxa de juro (TAA) de novos empréstimos à habitação;Taxa acordada anualizada;Percentagem;2008-04-30;5.27;
12533735;Taxa de juro (TAA) de novos empréstimos à habitação;Taxa acordada anualizada;Percentagem;2008-05-31;5.45;
12533735;Taxa de juro (TAA) de novos empréstimos à habitação;Taxa acordada anualizada;Percentagem;2008-06-30;5.61;
12533735;Taxa de juro (TAA) de novos empréstimos à habitação;Taxa acordada anualizada;Percentagem;2008-07-31;5.65;
12533735;Taxa de juro (TAA) de novos empréstimos à habitação;Taxa acordada anualizada;Percentagem;2008-08-31;5.71;
12533735;Taxa de juro (TAA) de novos empréstimos à habitação;Taxa acordada anualizada;Percentagem;2008-09-30;5.76;
12533735;Taxa de juro (TAA) de novos empréstimos à habitação;Taxa acordada anualizada;Percentagem;2008-10-31;5.67;
12533735;Taxa de juro (TAA) de novos empréstimos à habitação;Taxa acordada anualizada;Percentagem;2008-11-30;5.72;
12533735;Taxa de juro (TAA) de novos empréstimos à habitação;Taxa acordada anualizada;Percentagem;2008-12-31;4.94;
12533735;Taxa de juro (TAA) de novos empréstimos à habitação;Taxa acordada anualizada;Percentagem;2009-01-31;4.13;
12533735;Taxa de juro (TAA) de novos empréstimos à habitação;Taxa acordada anualizada;Percentagem;2009-02-28;3.45;
12533735;Taxa de juro (TAA) de novos empréstimos à habitação;Taxa acordada anualizada;Percentagem;2009-03-31;3.07;
12533735;Taxa de juro (TAA) de novos empréstimos à habitação;Taxa acordada anualizada;Percentagem;2009-04-30;2.81;
12533735;Taxa de juro (TAA) de novos empréstimos à habitação;Taxa acordada anualizada;Percentagem;2009-05-31;2.65;
12533735;Taxa de juro (TAA) de novos empréstimos à habitação;Taxa acordada anualizada;Percentagem;2009-06-30;2.57;
12533735;Taxa de juro (TAA) de novos empréstimos à habitação;Taxa acordada anualizada;Percentagem;2009-07-31;2.54;
12533735;Taxa de juro (TAA) de novos empréstimos à habitação;Taxa acordada anualizada;Percentagem;2009-08-31;2.39;
12533735;Taxa de juro (TAA) de novos empréstimos à habitação;Taxa acordada anualizada;Percentagem;2009-09-30;2.32;
12533735;Taxa de juro (TAA) de novos empréstimos à habitação;Taxa acordada anualizada;Percentagem;2009-10-31;2.28;
12533735;Taxa de juro (TAA) de novos empréstimos à habitação;Taxa acordada anualizada;Percentagem;2009-11-30;2.26;
12533735;Taxa de juro (TAA) de novos empréstimos à habitação;Taxa acordada anualizada;Percentagem;2009-12-31;2.25;
12533735;Taxa de juro (TAA) de novos empréstimos à habitação;Taxa acordada anualizada;Percentagem;2010-01-31;2.17;
12533735;Taxa de juro (TAA) de novos empréstimos à habitação;Taxa acordada anualizada;Percentagem;2010-02-28;2.2;
12533735;Taxa de juro (TAA) de novos empréstimos à habitação;Taxa acordada anualizada;Percentagem;2010-03-31;2.23;
12533735;Taxa de juro (TAA) de novos empréstimos à habitação;Taxa acordada anualizada;Percentagem;2010-04-30;2.26;
12533735;Taxa de juro (TAA) de novos empréstimos à habitação;Taxa acordada anualizada;Percentagem;2010-05-31;2.31;
12533735;Taxa de juro (TAA) de novos empréstimos à habitação;Taxa acordada anualizada;Percentagem;2010-06-30;2.28;
12533735;Taxa de juro (TAA) de novos empréstimos à habitação;Taxa acordada anualizada;Percentagem;2010-07-31;2.36;
12533735;Taxa de juro (TAA) de novos empréstimos à habitação;Taxa acordada anualizada;Percentagem;2010-08-31;2.58;
12533735;Taxa de juro (TAA) de novos empréstimos à habitação;Taxa acordada anualizada;Percentagem;2010-09-30;2.68;
12533735;Taxa de juro (TAA) de novos empréstimos à habitação;Taxa acordada anualizada;Percentagem;2010-10-31;2.73;
12533735;Taxa de juro (TAA) de novos empréstimos à habitação;Taxa acordada anualizada;Percentagem;2010-11-30;2.84;
12533735;Taxa de juro (TAA) de novos empréstimos à habitação;Taxa acordada anualizada;Percentagem;2010-12-31;2.98;
12533735;Taxa de juro (TAA) de novos empréstimos à habitação;Taxa acordada anualizada;Percentagem;2011-01-31;2.94;
12533735;Taxa de juro (TAA) de novos empréstimos à habitação;Taxa acordada anualizada;Percentagem;2011-02-28;3.05;
12533735;Taxa de juro (TAA) de novos empréstimos à habitação;Taxa acordada anualizada;Percentagem;2011-03-31;3.21;
12533735;Taxa de juro (TAA) de novos empréstimos à habitação;Taxa acordada anualizada;Percentagem;2011-04-30;3.44;
12533735;Taxa de juro (TAA) de novos empréstimos à habitação;Taxa acordada anualizada;Percentagem;2011-05-31;3.6;
12533735;Taxa de juro (TAA) de novos empréstimos à habitação;Taxa acordada anualizada;Percentagem;2011-06-30;3.76;
12533735;Taxa de juro (TAA) de novos empréstimos à habitação;Taxa acordada anualizada;Percentagem;2011-07-31;3.92;
12533735;Taxa de juro (TAA) de novos empréstimos à habitação;Taxa acordada anualizada;Percentagem;2011-08-31;4.15;
12533735;Taxa de juro (TAA) de novos empréstimos à habitação;Taxa acordada anualizada;Percentagem;2011-09-30;4.2;
12533735;Taxa de juro (TAA) de novos empréstimos à habitação;Taxa acordada anualizada;Percentagem;2011-10-31;4.27;
12533735;Taxa de juro (TAA) de novos empréstimos à habitação;Taxa acordada anualizada;Percentagem;2011-11-30;4.37;
12533735;Taxa de juro (TAA) de novos empréstimos à habitação;Taxa acordada anualizada;Percentagem;2011-12-31;4.28;
12533735;Taxa de juro (TAA) de novos empréstimos à habitação;Taxa acordada anualizada;Percentagem;2012-01-31;4.68;
12533735;Taxa de juro (TAA) de novos empréstimos à habitação;Taxa acordada anualizada;Percentagem;2012-02-29;4.44;
12533735;Taxa de juro (TAA) de novos empréstimos à habitação;Taxa acordada anualizada;Percentagem;2012-03-31;4.21;
12533735;Taxa de juro (TAA) de novos empréstimos à habitação;Taxa acordada anualizada;Percentagem;2012-04-30;4.04;
12533735;Taxa de juro (TAA) de novos empréstimos à habitação;Taxa acordada anualizada;Percentagem;2012-05-31;3.99;
12533735;Taxa de juro (TAA) de novos empréstimos à habitação;Taxa acordada anualizada;Percentagem;2012-06-30;3.9;
12533735;Taxa de juro (TAA) de novos empréstimos à habitação;Taxa acordada anualizada;Percentagem;2012-07-31;3.75;
12533735;Taxa de juro (TAA) de novos empréstimos à habitação;Taxa acordada anualizada;Percentagem;2012-08-31;3.69;
12533735;Taxa de juro (TAA) de novos empréstimos à habitação;Taxa acordada anualizada;Percentagem;2012-09-30;3.62;
12533735;Taxa de juro (TAA) de novos empréstimos à habitação;Taxa acordada anualizada;Percentagem;2012-10-31;3.44;
12533735;Taxa de juro (TAA) de novos empréstimos à habitação;Taxa acordada anualizada;Percentagem;2012-11-30;3.41;
12533735;Taxa de juro (TAA) de novos empréstimos à habitação;Taxa acordada anualizada;Percentagem;2012-12-31;3.39;
12533735;Taxa de juro (TAA) de novos empréstimos à habitação;Taxa acordada anualizada;Percentagem;2013-01-31;3.28;
12533735;Taxa de juro (TAA) de novos empréstimos à habitação;Taxa acordada anualizada;Percentagem;2013-02-28;3.3;
12533735;Taxa de juro (TAA) de novos empréstimos à habitação;Taxa acordada anualizada;Percentagem;2013-03-31;3.31;
12533735;Taxa de juro (TAA) de novos empréstimos à habitação;Taxa acordada anualizada;Percentagem;2013-04-30;3.2;
12533735;Taxa de juro (TAA) de novos empréstimos à habitação;Taxa acordada anualizada;Percentagem;2013-05-31;3.22;
12533735;Taxa de juro (TAA) de novos empréstimos à habitação;Taxa acordada anualizada;Percentagem;2013-06-30;3.16;
12533735;Taxa de juro (TAA) de novos empréstimos à habitação;Taxa acordada anualizada;Percentagem;2013-07-31;3.2;
12533735;Taxa de juro (TAA) de novos empréstimos à habitação;Taxa acordada anualizada;Percentagem;2013-08-31;3.23;
12533735;Taxa de juro (TAA) de novos empréstimos à habitação;Taxa acordada anualizada;Percentagem;2013-09-30;3.14;
12533735;Taxa de juro (TAA) de novos empréstimos à habitação;Taxa acordada anualizada;Percentagem;2013-10-31;3.26;
12533735;Taxa de juro (TAA) de novos empréstimos à habitação;Taxa acordada anualizada;Percentagem;2013-11-30;3.3;
12533735;Taxa de juro (TAA) de novos empréstimos à habitação;Taxa acordada anualizada;Percentagem;2013-12-31;3.25;
12533735;Taxa de juro (TAA) de novos empréstimos à habitação;Taxa acordada anualizada;Percentagem;2014-01-31;3.29;
12533735;Taxa de juro (TAA) de novos empréstimos à habitação;Taxa acordada anualizada;Percentagem;2014-02-28;3.44;
