'freguesia','bairro','tipologia','renda','nrelementos'
'UF de Freguesias Lordelo do Ouro e Massarelos','Mouteira','3',' < 20 ','2'
'UF de Freguesias Lordelo do Ouro e Massarelos','Mouteira','3',' < 20 ','1'
'Ramalde','Ramalde','4',' < 20 ','1'
'Campanhã','Lagarteiro','2',' < 20 ','1'
'Ramalde','Ramalde','3','[20 - 40[','3'
'Ramalde','Campinas','2','[60 - 80[','5'
'Campanhã','S. Roque da Lameira','<= 1','[60 - 80[','1'
'Campanhã','Falcão','2','[60 - 80[','3'
'Paranhos','Carriçal','<= 1',' < 20 ','1'
'Ramalde','Francos','2','[60 - 80[','1'
'Ramalde','Ramalde','2','[20 - 40[','1'
'UF de Aldoar, Foz do Douro e Nevogilde','Aldoar','4','[80 - 100[','5'
'UF de Freguesias Lordelo do Ouro e Massarelos','Bom Sucesso','3','[40 - 60[','2'
'Ramalde','Campinas','2','[60 - 80[','1'
'Ramalde','Francos','2','[40 - 60[','1'
'Ramalde','Francos','3','[80 - 100[','1'
'Paranhos','Carriçal','4','[80 - 100[','>= 6'
'UF de Aldoar, Foz do Douro e Nevogilde','Fonte da Moura','3','[80 - 100[','1'
'Campanhã','Eng. Machado Vaz','3','[40 - 60[','5'
'UF de Freguesias Lordelo do Ouro e Massarelos','Pasteleira','3','[40 - 60[','4'
'Campanhã','S. Roque da Lameira','3','[80 - 100[','1'
'Paranhos','Santa Luzia','2','[200 - 220[','1'
'Bonfim','Duque de Saldanha','2','[20 - 40[','2'
'UF de Aldoar, Foz do Douro e Nevogilde','Aldoar','<= 1',' < 20 ','1'
'Ramalde','Campinas','2','[40 - 60[','1'
'Ramalde','Campinas','<= 1','[40 - 60[','1'
'UF de Freguesias Lordelo do Ouro e Massarelos','Pasteleira','2','[20 - 40[','2'
'Ramalde','Campinas','2','[60 - 80[','2'
'Campanhã','Contumil','2','[60 - 80[','2'
'Paranhos','Carvalhido','<= 1','[20 - 40[','1'
'Ramalde','Francos','2','[40 - 60[','1'
'UF de Aldoar, Foz do Douro e Nevogilde','Fonte da Moura','3','[80 - 100[','1'
'Ramalde','Francos','<= 1','[60 - 80[','1'
'Bonfim','Duque de Saldanha','2','[40 - 60[','1'
'Ramalde','Francos','2',' < 20 ','2'
'Ramalde','Francos','3','[80 - 100[','2'
'Campanhã','S. Roque da Lameira','2','[40 - 60[','1'
'Paranhos','Carvalhido','4','[80 - 100[','3'
'Ramalde','Francos','2','[60 - 80[','1'
'Ramalde','Ramalde','2','[60 - 80[','2'
'UF de Freguesias Lordelo do Ouro e Massarelos','Mouteira','2','[40 - 60[','1'
'UF de Freguesias Lordelo do Ouro e Massarelos','Mouteira','2','[80 - 100[','2'
'UF de Freguesias Lordelo do Ouro e Massarelos','Mouteira','4','[160 - 180[','2'
'UF de Freguesias Lordelo do Ouro e Massarelos','Mouteira','2','[120 - 140[','2'
'UF de Freguesias Lordelo do Ouro e Massarelos','Mouteira','3','[140 - 160[','2'
'UF de Freguesias Lordelo do Ouro e Massarelos','Mouteira','3','[140 - 160[','2'
'Paranhos','Carvalhido','3','[80 - 100[','2'
'Ramalde','Francos','3','[60 - 80[','1'
'UF de Freguesias Lordelo do Ouro e Massarelos','Lordelo','3','[80 - 100[','3'
'UF de Freguesias Lordelo do Ouro e Massarelos','Pasteleira','4','[40 - 60[','2'
'Paranhos','Regado','<= 1','[40 - 60[','2'
'UF de Freguesias Lordelo do Ouro e Massarelos','Dr. Nuno Pinheiro Torres','3','[20 - 40[','4'
'Bonfim','Fernão de Magalhães','2',' < 20 ','1'
'Campanhã','Eng. Machado Vaz','<= 1','[20 - 40[','2'
'Ramalde','Campinas','<= 1',' < 20 ','1'
'UF de Aldoar, Foz do Douro e Nevogilde','Fonte da Moura','2','[60 - 80[','2'
'UF de Aldoar, Foz do Douro e Nevogilde','Fonte da Moura','2','[60 - 80[','3'
'Ramalde','Campinas','3','[80 - 100[','2'
'Ramalde','Francos','2',' < 20 ','1'
'Campanhã','Falcão','3','[60 - 80[','2'
'Campanhã','Cerco do Porto','3','[40 - 60[','2'
'Campanhã','S. Roque da Lameira','3','[80 - 100[','3'
'Ramalde','Francos','3','[80 - 100[','3'
'Campanhã','Lagarteiro','3','[80 - 100[','2'
'Campanhã','Lagarteiro','4','[80 - 100[','2'
'Campanhã','Cerco do Porto','2','[20 - 40[','3'
'UF de Freguesias Lordelo do Ouro e Massarelos','Mouteira','3','[100 - 120[','2'
'Paranhos','Regado','4','[80 - 100[','2'
'Paranhos','Regado','4','[80 - 100[','3'
'UF de Freguesias Lordelo do Ouro e Massarelos','Pasteleira','3','[40 - 60[','2'
'UF de Aldoar, Foz do Douro e Nevogilde','Aldoar','3','[40 - 60[','1'
'Ramalde','Campinas','3','[80 - 100[','4'
'Ramalde','Campinas','3','[80 - 100[','3'
'UF de Freguesias Lordelo do Ouro e Massarelos','Dr. Nuno Pinheiro Torres','3','[80 - 100[','3'
'UF de Aldoar, Foz do Douro e Nevogilde','Aldoar','3','[80 - 100[','2'
'UF de Aldoar, Foz do Douro e Nevogilde','Aldoar','3','[80 - 100[','4'
'Campanhã','Lagarteiro','4','[80 - 100[','3'
'UF de Aldoar, Foz do Douro e Nevogilde','Aldoar','4','[80 - 100[','2'
'Paranhos','Santa Luzia','4','[140 - 160[','1'
'Ramalde','Francos','3','[80 - 100[','2'
'UF de Aldoar, Foz do Douro e Nevogilde','Aldoar','2','[40 - 60[','2'
'Bonfim','Fernão de Magalhães','3','[80 - 100[','5'
'UF de Freguesias Lordelo do Ouro e Massarelos','Pasteleira','3','[40 - 60[','2'
'Ramalde','Campinas','4','[80 - 100[','2'
'Paranhos','Agra do Amial','3','[40 - 60[','2'
'Ramalde','Campinas','2','[60 - 80[','2'
'Paranhos','Bom Pastor','3','[80 - 100[','2'
'UF de Aldoar, Foz do Douro e Nevogilde','Aldoar','4','[20 - 40[','4'
'UF de Aldoar, Foz do Douro e Nevogilde','Aldoar','3','[80 - 100[','2'
'UF de Aldoar, Foz do Douro e Nevogilde','Aldoar','<= 1',' < 20 ','1'
'UF de Freguesias Lordelo do Ouro e Massarelos','Condominhas','<= 1','[140 - 160[','1'
'Ramalde','Campinas','2','[40 - 60[','3'
'Paranhos','Carriçal','2','[60 - 80[','3'
