Unnamed: 0,1.º Trimestre de 2024,Unnamed: 2,Unnamed: 3,4.º Trimestre de 2023,Unnamed: 5,Unnamed: 6,3.º Trimestre de 2023,Unnamed: 8,Unnamed: 9,2.º Trimestre de 2023,Unnamed: 11,Unnamed: 12,1.º Trimestre de 2023,Unnamed: 14,Unnamed: 15,4.º Trimestre de 2022,Unnamed: 17,Unnamed: 18,3.º Trimestre de 2022,Unnamed: 20,Unnamed: 21,2.º Trimestre de 2022,Unnamed: 23,Unnamed: 24,1.º Trimestre de 2022,Unnamed: 26,Unnamed: 27,4.º Trimestre de 2021,Unnamed: 29,Unnamed: 30,3.º Trimestre de 2021,Unnamed: 32,Unnamed: 33,2.º Trimestre de 2021,Unnamed: 35,Unnamed: 36,1.º Trimestre de 2021,Unnamed: 38,Unnamed: 39,4.º Trimestre de 2020,Unnamed: 41,Unnamed: 42,3.º Trimestre de 2020,Unnamed: 44,Unnamed: 45,2.º Trimestre de 2020,Unnamed: 47,Unnamed: 48,1.º Trimestre de 2020,Unnamed: 50,Unnamed: 51,4.º Trimestre de 2019,Unnamed: 53,Unnamed: 54,Unnamed: 55
,Categoria do alojamento familiar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"11A131217: União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",3329,3835,2831,3284,3764,2813,3227,3664,2806,3118,3571,2769,3058,3544,2603,2967,3462,2447,2830,3368,2375,2732,3306,2379,2633,3208,2214,2577,3195,2193,2566,3228,2137,2504,3068,2000,2484,3076,2026,2461,3038,2057,2294,2940,1872,2181,2940,1844,2168,2922,1844,2051,2739,1784,
11A131218: União das freguesias de Lordelo do Ouro e Massarelos,2962,3701,2797,3084,3719,2668,3046,3659,2685,3006,3606,2689,2936,3476,2653,2856,3010,2681,2768,2963,2554,2698,3009,2439,2694,3142,2412,2521,3669,2396,2573,3699,2389,2519,3650,2355,2468,3472,2347,2594,3550,2325,2461,3342,2281,2389,3300,2190,2283,3289,2154,2170,3100,2113,
"Valor mediano das vendas por m2 de alojamentos familiares nos últimos 12 meses (?) por Localização geográfica (NUTS - 2024 - Cidade) e Categoria do alojamento familiar -  Trimestral - INE, Estatisticas de preços da habitação ao nível local",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Última atualização destes dados: 16 de julho de 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metainformação associada ao quadro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valor mediano das vendas por m2 de alojamentos familiares nos últimos 12 meses (?),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Designação,Valor mediano das vendas por m2 de alojamentos familiares nos últimos 12 meses (?) por Localização geográfica (NUTS - 2024 - Cidade) e Categoria do alojamento familiar -  Trimestral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Periodicidade,Trimestral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fonte,"INE, Estatisticas de preços da habitação ao nível local",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Primeiro período disponível,4.º Trimestre de 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Último período disponível,1.º Trimestre de 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dimensões,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
